id,strategy,date,total,passed,profitRate,year,month
214,PriceRate,2017/6/30 0:00,10,1,-0.09,2017,6
215,PriceRate,2017/7/30 0:00,9,9,0.08,2017,7
216,PriceRate,2017/8/29 0:00,9,3,-0.01,2017,8
217,PriceRate,2017/9/28 0:00,9,4,0.01,2017,9
218,PriceRate,2017/10/28 0:00,10,0,-0.14,2017,10
219,PriceRate,2017/11/27 0:00,10,2,-0.02,2017,11
220,PriceRate,2017/12/27 0:00,10,10,0.05,2017,12
221,PriceRate,2018/1/26 0:00,10,2,-0.11,2018,1
222,PriceRate,2018/2/25 0:00,10,5,0.02,2018,2
223,PriceRate,2018/3/27 0:00,10,2,0,2018,3
224,PriceRate,2018/4/26 0:00,9,7,0.06,2018,4
225,PriceRate,2018/5/26 0:00,10,2,-0.13,2018,5
226,PriceRate,2018/6/25 0:00,10,6,0.04,2018,6
227,PriceRate,2018/7/25 0:00,10,0,-0.14,2018,7
228,PriceRate,2018/8/24 0:00,10,6,0,2018,8
229,PriceRate,2018/9/23 0:00,10,0,-0.17,2018,9
230,PriceRate,2018/10/23 0:00,10,10,0.13,2018,10
231,PriceRate,2018/11/22 0:00,10,3,-0.04,2018,11
232,PriceRate,2018/12/22 0:00,10,7,0.06,2018,12
233,PriceRate,2019/1/21 0:00,9,8,0.07,2019,1
234,PriceRate,2019/2/20 0:00,9,9,0.19,2019,2
235,PriceRate,2019/3/22 0:00,8,6,0.19,2019,3
236,PriceRate,2019/4/21 0:00,8,4,-0.01,2019,4
237,PriceRate,2019/5/21 0:00,9,2,-0.08,2019,5
238,PriceRate,2019/6/20 0:00,0,0,0,2019,6
239,GrowSpeed,2000/1/1 0:00,0,0,0,2000,1
240,GrowSpeed,2000/1/31 0:00,10,5,0.07,2000,1
241,GrowSpeed,2000/3/1 0:00,10,2,-0.13,2000,3
242,GrowSpeed,2000/3/31 0:00,10,5,0.09,2000,3
243,GrowSpeed,2000/4/30 0:00,10,4,-0.08,2000,4
244,GrowSpeed,2000/5/30 0:00,10,2,-0.11,2000,5
245,GrowSpeed,2000/6/29 0:00,10,2,-0.1,2000,6
246,GrowSpeed,2000/7/29 0:00,10,8,0.1,2000,7
247,GrowSpeed,2000/8/28 0:00,10,3,-0.1,2000,8
248,GrowSpeed,2000/9/27 0:00,10,6,0.03,2000,9
249,GrowSpeed,2000/10/27 0:00,10,5,0,2000,10
250,GrowSpeed,2000/11/26 0:00,10,3,-0.03,2000,11
251,GrowSpeed,2000/12/26 0:00,10,3,-0.04,2000,12
252,GrowSpeed,2001/1/25 0:00,10,4,-0.02,2001,1
253,GrowSpeed,2001/2/24 0:00,10,9,0.03,2001,2
254,GrowSpeed,2001/3/26 0:00,10,6,-0.03,2001,3
255,GrowSpeed,2001/4/25 0:00,10,5,0.03,2001,4
256,GrowSpeed,2001/5/25 0:00,10,3,-0.12,2001,5
257,GrowSpeed,2001/6/24 0:00,10,2,-0.02,2001,6
258,GrowSpeed,2001/7/24 0:00,9,1,-0.12,2001,7
259,GrowSpeed,2001/8/23 0:00,9,1,-0.06,2001,8
260,GrowSpeed,2001/9/22 0:00,9,2,-0.07,2001,9
261,GrowSpeed,2001/10/22 0:00,10,3,0,2001,10
262,GrowSpeed,2001/11/21 0:00,10,3,-0.06,2001,11
263,GrowSpeed,2001/12/21 0:00,10,1,-0.08,2001,12
264,GrowSpeed,2002/1/20 0:00,10,8,0.05,2002,1
265,GrowSpeed,2002/2/19 0:00,9,7,0,2002,2
266,GrowSpeed,2002/3/21 0:00,9,1,-0.05,2002,3
267,GrowSpeed,2002/4/20 0:00,10,5,0.05,2002,4
268,GrowSpeed,2002/5/20 0:00,10,1,-0.12,2002,5
269,GrowSpeed,2002/6/19 0:00,10,7,0.04,2002,6
270,GrowSpeed,2002/7/19 0:00,10,1,-0.03,2002,7
271,GrowSpeed,2002/8/18 0:00,10,0,-0.08,2002,8
272,GrowSpeed,2002/9/17 0:00,10,1,-0.08,2002,9
273,GrowSpeed,2002/10/17 0:00,10,0,-0.04,2002,10
274,GrowSpeed,2002/11/16 0:00,10,2,-0.03,2002,11
275,GrowSpeed,2002/12/16 0:00,10,4,0.03,2002,12
276,GrowSpeed,2003/1/15 0:00,10,4,0.01,2003,1
277,GrowSpeed,2003/2/14 0:00,10,2,-0.01,2003,2
278,GrowSpeed,2003/3/16 0:00,10,8,0.14,2003,3
279,GrowSpeed,2003/4/15 0:00,10,2,-0.05,2003,4
280,GrowSpeed,2003/5/15 0:00,10,2,-0.07,2003,5
281,GrowSpeed,2003/6/14 0:00,10,2,-0.09,2003,6
282,GrowSpeed,2003/7/14 0:00,10,2,-0.05,2003,7
283,GrowSpeed,2003/8/13 0:00,10,1,-0.02,2003,8
284,GrowSpeed,2003/9/12 0:00,10,4,0,2003,9
285,GrowSpeed,2003/10/12 0:00,10,4,-0.02,2003,10
286,GrowSpeed,2003/11/11 0:00,10,5,0.01,2003,11
287,GrowSpeed,2003/12/11 0:00,10,10,0.12,2003,12
